Items,LLM Adjusted Items
"Mini Thattai, Mullu Tenkuzhal, Haldirams Hara Chiwda 400g","""Mini Thattai"", ""Mullu Tenkuzhal"", ""Murukku"""
"Libby's Organic Sweet Peas, 15-Ounces Cans (Pack of 12), Green Giant Mixed Vegetable Blend, 15-Ounce (Pack of 6)","""Libby's Organic Sweet Peas, 15-Ounces Cans (Pack of 12)"", ""Green Giant Mixed Vegetable Blend, 15-Ounce (Pack of 6)"", ""Del Monte Whole Kernel Corn, 15 oz (Pack of 6)"""
"Dasani Drops Water Flavor Enhancer Pineapple Coconut 1.9 Fl Oz (Pack of 3), Mio Liquid Water Enhancer Cranberry Raspberry 1.62 Ounce (Pack of 4)","""Dasani Drops Water Flavor Enhancer Pineapple Coconut 1.9 Fl Oz (Pack of 3)"", ""Mio Liquid Water Enhancer Cranberry Raspberry 1.62 Ounce (Pack of 4)"", ""Stur Natural Water Enhancer Variety Pack"""
"Bob's Red Mill Flaked Coconut Unsweetened,  4 - 12-Ounce Bags, Bob's Red Mill Granola, Apple Cinnamon No Fat, 12-Ounce Bags (Pack of 4)","""Bob's Red Mill Flaked Coconut Unsweetened, 4 - 12-Ounce Bags"", ""Bob's Red Mill Granola, Apple Cinnamon No Fat, 12-Ounce Bags (Pack of 4)"", ""Bob’s Red Mill Rolled Oats, Whole Grain, 32 oz"""
"Bisquick Pancake and Baking Mix, Gluten-Free, 16-Ounce Boxes (Pack of 3), Glutino Gluten Free Pantry Fluffy Pancake Mix, 16-Ounce Boxes (Pack of 6), Maple Grove Farms Gluten Free Pancake &amp; Waffle Mix, 16-Ounce Boxes (Pack of 4)","""Bisquick Pancake and Baking Mix, Gluten-Free, 16-Ounce Boxes (Pack of 3)"", ""Maple Grove Farms Gluten Free Pancake & Waffle Mix, 16-Ounce Boxes (Pack of 4)"", ""Gluten-Free Maple Syrup"""
"Sam Mills Pasta D'Oro Gluten Free Penne Rigate, 1-Pound (Pack of 6), Bob's Red Mill Gluten-Free Pancake Mix, 22-Ounce Packages (Pack of 4)","""Sam Mills Pasta D'Oro Gluten Free Penne Rigate, 1-Pound (Pack of 6)"", ""Gluten-Free Pasta Sauce"""
"Bob's Red Mill Bulgur Red Wheat Ala, 28-Ounce (Pack of 4), Yehuda Hummus, Libby's Organic Garbanzo Beans, 15-Ounces Cans (Pack of 12), Frontier Garlic Powder, 16 Ounce Bags (Pack of 2), Spicy World Crushed Mint Leaves, 3.5-Ounce Bags (Pack of 6), Kevala Organic Tahini 16 oz, Nature's Way Coconut Oil, 16 Ounce, Lawry's Taco Spices &amp; Seasonings, 1-Ounce Packets (Pack of 24), Spicy World Tellicherry Pepper, 14-Ounce Unit, Cortas Falafel Powder 200gr (7oz)","""Bob's Red Mill Bulgur Red Wheat Ala, 28-Ounce (Pack of 4)"", ""Yehuda Hummus"", ""Libby's Organic Garbanzo Beans, 15-Ounces Cans (Pack of 12)"", ""Frontier Garlic Powder, 16 Ounce Bags (Pack of 2)"", ""Spicy World Crushed Mint Leaves, 3.5-Ounce Bags (Pack of 6)"", ""Kevala Organic Tahini 16 oz"", ""Spicy World Tellicherry Pepper, 14-Ounce Unit"", ""Cortas Falafel Powder 200gr (7oz)"", ""Olive Oil"""
"Lawry's Taco Spices &amp; Seasonings, 1-Ounce Packets (Pack of 24), Spicy World Tellicherry Pepper, 14-Ounce Unit","""Lawry's Taco Spices & Seasonings, 1-Ounce Packets (Pack of 24)"", ""Cumin Powder"", ""Smoked Paprika"""
"Tea Forte Loose Leaf Tea Canister - Jasmine Green 3.5 ounces, Organic Silver Needle Loose Leaf White Tea","""Tea Forte Loose Leaf Tea Canister - Jasmine Green 3.5 ounces"", ""Organic Silver Needle Loose Leaf White Tea"", ""Premium Loose Leaf Oolong Tea"""
"Green Mountain Coffee, Celestial Seasonings Southern Sweet Perfect Iced Tea, K-Cup Portion Pack for Keurig K-Cup Brewers, 22-Count, San Francisco Bay Coffee French Roast, 80 OneCup Single Serve Cups","""Green Mountain Coffee"", ""San Francisco Bay Coffee French Roast, 80 OneCup Single Serve Cups"", ""Variety Pack of Coffee Creamers"""
"Brew and Save Refillable Single-cup (coffee or tea or cider) for Keurig K-Cup Brewers, 2 Count, Kicking Horse Coffee Three Sisters Medium, Whole Bean Coffee, 2.2-Pound Pouch, Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count, Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box, Decaf Tea Deluxe Variety Pack for Keurig K-Cup Brewers, 20 Count, Spice Appeal Chipotle Chili Ground, 16-Ounce Jars (Pack of 2), Yogi Chai Rooibos Tea, 16 Tea Bags (Pack of 6), Crazy Cups Wolfgang Puck Sampler,  K-Cup Portion Pack for Keurig K-Cup Brewers (Pack of 35), San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups, San Francisco Bay Coffee Fog Chaser, 12-Count OneCup Single Serve Cups (Pack of 3)","""Brew and Save Refillable Single-cup (coffee or tea or cider) for Keurig K-Cup Brewers, 2 Count"", ""Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count"", ""Green Mountain Coffee Dark Magic (Extra Bold), K-Cups For Keurig Brewers, 24-count Box"", ""Decaf Tea Deluxe Variety Pack for Keurig K-Cup Brewers, 20 Count"", ""Crazy Cups Wolfgang Puck Sampler, K-Cup Portion Pack for Keurig K-Cup Brewers (Pack of 35)"", ""San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups"", ""San Francisco Bay Coffee Fog Chaser, 12-Count OneCup Single Serve Cups (Pack of 3)"", ""Milk Frother"""
"Kicking Horse Coffee Three Sisters Medium, Whole Bean Coffee, 2.2-Pound Pouch, Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count, Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box, San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups","""Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count"", ""Green Mountain Coffee Dark Magic (Extra Bold), K-Cups For Keurig Brewers, 24-count Box"", ""San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups"", ""Variety Pack of Coffee Sweeteners (Sugar, Stevia, Honey)"""
"Kellogg's Harvest Acres Fruit Snacks, Mixed Fruit, 8 Ounce (Pack of 10), Kellogg's Fruity Snacks, Mixed Berry, 16 Ounce (Pack of 6)","""Kellogg's Harvest Acres Fruit Snacks, Mixed Fruit, 8 Ounce (Pack of 10)"", ""Kellogg's Fruity Snacks, Mixed Berry, 16 Ounce (Pack of 6)"", ""Annie's Organic Fruit Snacks Variety Pack"""
"Keebler El Duende Cookies, Coconut, 11 Ounce (Pack of 12), Keebler Simply Made Cookies, Chocolate Chip, 10 Ounce, Keebler El Duende Sandwich Cookies, Lemon, 13 Ounce (Pack of 12)","""Keebler El Duende Cookies, Coconut, 11 Ounce (Pack of 12)"", ""Keebler Simply Made Cookies, Chocolate Chip, 10 Ounce"", ""Keebler Fudge Stripes Cookies"""
"Cheez-It Cracker Cup, Original, 2.2 Ounce (Pack of 10), Keebler Town House Pita Crackers, Mediterranean Herb, 9.5 Ounce","""Cheez-It Cracker Cup, Original, 2.2 Ounce (Pack of 10)"", ""Cheez-It White Cheddar Crackers"""
"Barilla Elbow Pasta, 16 Ounce Boxes (Pack of 16), Ferara Pasta, Penne (Mostacioli), 1-Pound (Pack of 20)","""Barilla Elbow Pasta, 16 Ounce Boxes (Pack of 16)"", ""Ferrara Pasta, Penne (Mostacioli), 1-Pound (Pack of 20)"", ""Marinara Pasta Sauce"""
"Jell-O Cook and Serve Pudding and Pie Filling, Lemon, 4.3-Ounce Boxes (Pack of 6), Duncan Hines Signature Spice Cake Mix, 16.50-Ounce Boxes (Pack of 6)","""Jell-O Cook and Serve Pudding and Pie Filling, Lemon, 4.3-Ounce Boxes (Pack of 6)"", ""Duncan Hines Signature Spice Cake Mix, 16.50-Ounce Boxes (Pack of 6)"", ""Whipped Topping Mix or Vanilla Frosting"""
"The Spice Lab Ghost Pepper Salt Naga Jolokia- Really Hot, 4 oz., Bhut Jolokia (Ghost) Powder - Very Hot, Mad Dog 357 Ghost Pepper Hot Sauce","""The Spice Lab Ghost Pepper Salt Naga Jolokia- Really Hot, 4 oz."", ""Bhut Jolokia (Ghost) Powder - Very Hot"", ""Mad Dog 357 Ghost Pepper Hot Sauce"", ""Ghost Pepper Whole Dried Pods"""
"Trader Joe's Banana Bread Mix, Trader Joe's Apple &amp; Cinnamon Naturally Flavored Instant Oatmeal (2 Pack)","""Trader Joe's Banana Bread Mix"", ""Trader Joe's Pumpkin Bread & Muffin Mix"""
"Trader Joe's Speculoos Cookie Butter, Trader Joe's Island Soyaki 20Oz (1LB 4Oz), Trader Joe's Apple &amp; Cinnamon Naturally Flavored Instant Oatmeal (2 Pack)","""Trader Joe's Speculoos Cookie Butter"", ""Trader Joe's Apple & Cinnamon Naturally Flavored Instant Oatmeal (2 Pack)"", ""Trader Joe's Organic Maple Syrup"""
"Chocolate Bar Variety Pack - 30 ct, Nestle Chocolate Variety Pack, 20-Count Packages","""Chocolate Bar Variety Pack - 30 ct"", ""Dark Chocolate Sampler Pack"""
"Le Sueur Early June Peas, 15-Ounce (Pack of 8), Del Monte Diced Tomatoes Basil, Garlic and Oregano, 14.5-Ounce (Pack of 8)","""Le Sueur Early June Peas, 15-Ounce (Pack of 8)"", ""Del Monte Diced Tomatoes Basil, Garlic and Oregano, 14.5-Ounce (Pack of 8)"", ""Canned Corn"", ""Canned Black Beans"", ""Vegetable Broth"""
"Morton Iodized Table Salt - 4lb. box, Domino Sugar, Granulated, 10-Pound Bags, Morton Iodized Salt 26oz, Crisco Pure Vegetable Oil, 128 Ounce (Pack of 4), Crisco Butter Flavor Non Stick Cooking Spray- 3 Pack","""Morton Iodized Table Salt - 4lb. box"", ""Domino Sugar, Granulated, 10-Pound Bags"", ""Crisco Pure Vegetable Oil, 128 Ounce (Pack of 4)"", ""Crisco Butter Flavor Non-Stick Cooking Spray - 3 Pack"", ""All-Purpose Flour"", ""Baking Powder"", ""Honey or Brown Sugar"""
"Morton Iodized Table Salt - 4lb. box, Domino Sugar, Granulated, 10-Pound Bags, Morton Iodized Salt 26oz","""Morton Iodized Table Salt - 4lb. box"", ""Domino Sugar, Granulated, 10-Pound Bags"", ""All-Purpose Flour"", ""Baking Powder or Baking Soda"", ""Cooking Oil (Vegetable or Olive Oil)"""
"Celestial Seasonings Sugar Plum Spice, Christmas Herb Tea, 20 Count Teabagss (Pack of 6), Celestial Seasonings Herb Tea, Country Peach Passion, 20-Count Tea Bags (Pack of 6)","""Celestial Seasonings Sugar Plum Spice, Christmas Herb Tea, 20 Count (Pack of 6)"", ""Celestial Seasonings Herb Tea, Country Peach Passion, 20 Count (Pack of 6)"", ""Celestial Seasonings Bengal Spice Tea, 20 Count (Pack of 6)"", ""Celestial Seasonings Honey Vanilla Chamomile Tea, 20 Count (Pack of 6)"""
"Nongshim Chapagetti Chajang Noodle, 4.5 Ounce (Pack of 24), Nongshim Neoguri Spicy Seafood Noodle Ramyun, 4.2 Ounce Packages (Pack of 20), Nongshim Shin Ramyun Black Noodle Soup, 4.58 Ounce Packages (Pack of 18), Nongshim Shin Noodle Ramyun Gourmet Spicy, 4.2-Ounce Packages, 20-Count, Nong Shim Hot and Spicy Noodle Soup:Ansung Tangmyun","""Nongshim Chapagetti Chajang Noodle, 4.5 Ounce (Pack of 24)"", ""Nongshim Neoguri Spicy Seafood Noodle Ramyun, 4.2 Ounce Packages (Pack of 20)"", ""Nongshim Shin Ramyun Black Noodle Soup, 4.58 Ounce Packages (Pack of 18)"", ""Nongshim Shin Noodle Ramyun Gourmet Spicy, 4.2-Ounce Packages, 20-Count"", ""Nongshim Hot and Spicy Noodle Soup: Ansung Tangmyun"", ""Nongshim Kimchi Ramyun, 4.2-Ounce Packages (Pack of 16)"", ""Nongshim Soon Veggie Noodle Soup (Vegan), 3.95-Ounce Packages (Pack of 20)"""
"YummyEarth Organic Lollipops, Assorted Flavors, 5-Pound Bag, Swerseys Chocolate 1940's-1970's Nostalgic Candy Assortment Gift Box, Number 62, 1.5 Pound, World Wide Gourmet Foods Snack Box, Deluxe Edition","""YummyEarth Organic Lollipops, Assorted Flavors, 5-Pound Bag"", ""Swerseys Chocolate 1940's-1970's Nostalgic Candy Assortment Gift Box, Number 62, 1.5 Pound"", ""Ghirardelli Premium Chocolate Assortment, 15.9-Ounce Gift Box"", ""Jelly Belly 49-Flavor Jelly Beans Gift Box, 21-Ounce"""
"Crunchies Freeze-Dried Fruit Snack, Pineapple, 1.5-Ounce Pouches (Pack of 6), NOW Foods SUNFLOWER SEEDS HULLED RAW 1 LB, Sun Maid Fruit Bits, 7-Ounce Bags (Pack of 6)","""Crunchies Freeze-Dried Fruit Snack, Pineapple, 1.5-Ounce Pouches (Pack of 6)"", ""Sun Maid Fruit Bits, 7-Ounce Bags (Pack of 6)"", ""Kirkland Signature Whole Dried Blueberries, 20-Ounce Bag"", ""Natierra Organic Freeze-Dried Strawberries, 1.2-Ounce Bags (Pack of 6)"""
"Raw Pepitas / No Shell Pumpkin Seeds (16oz bag), Oranges Slices: 5LBS, Jansal Valley Raw Slivered Almonds, 1 Pound","""Raw Pepitas / No Shell Pumpkin Seeds (16oz bag)"", ""Oranges Slices: 5LBS"", ""Jansal Valley Raw Slivered Almonds, 1 Pound"", ""Raw Walnuts, 1 Pound Bag"", ""Dried Cranberries, 12-Ounce Bag"""
"Raw Pepitas / No Shell Pumpkin Seeds (16oz bag), Side Mates Traditional Couscous in Canister, Plain, 27 Ounce, NOW Foods SUNFLOWER SEEDS HULLED RAW 1 LB, Jansal Valley Raw Slivered Almonds, 1 Pound","""Raw Pepitas / No Shell Pumpkin Seeds (16oz bag)"", ""Side Mates Traditional Couscous in Canister, Plain, 27 Ounce"", ""NOW Foods SUNFLOWER SEEDS HULLED RAW 1 LB"", ""Jansal Valley Raw Slivered Almonds, 1 Pound"", ""Chia Seeds, 1 Pound Bag"", ""Quinoa, 1-Pound Bag"""
"Oranges Slices: 5LBS, Jansal Valley Raw Slivered Almonds, 1 Pound","""Oranges Slices: 5LBS"", ""Jansal Valley Raw Slivered Almonds, 1 Pound"", ""Dried Cranberries, 12-Ounce Bag"", ""Raw Walnuts, 1 Pound Bag"""
"Good2Grow Fruit Juice, Tropical Fruit Medley, 6 Count (Pack of 4), Good2Grow Fruit Juice, Apple, 6 Count (Pack of 4), Good2Grow Fruit Juice, Strawberry Kiwi, 6 Count (Pack of 4)","""Good2Grow Fruit Juice, Tropical Fruit Medley, 6 Count (Pack of 4)"", ""Good2Grow Fruit Juice, Apple, 6 Count (Pack of 4)"", ""Good2Grow Fruit Juice, Strawberry Kiwi, 6 Count (Pack of 4)"", ""Good2Grow Fruit Juice, Grape, 6 Count (Pack of 4)"", ""Good2Grow Reusable Character Tops (Pack of 6)"""
"So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened,  32-Ounce (Pack of 6), So Delicious - Chocolate Coconut Milk Beverage Single Serve &quot;Grab-and-Go&quot;, (Non Dairy + Soy Free + Gluten Free + Vegan), Buy TWENTYFOUR Units and SAVE, They come in Six, 4 Packs - Each Unit is 8 oz (Pack of 24), So Delicious Vanilla Coconut Milk 32oz (Pack of 12)","""So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened, 32-Ounce (Pack of 6)"", ""So Delicious - Chocolate Coconut Milk Beverage Single Serve, 8 oz (Pack of 24)"", ""So Delicious Vanilla Coconut Milk 32oz (Pack of 12)"", ""So Delicious Coconut Creamer, Original (32oz, Pack of 6)"", ""So Delicious Coconut Yogurt Alternative, Vanilla (5.3oz, Pack of 12)"""
"Sambazon Blended Breakfast Smoothie 10.5 fl oz (12 Pack), So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened,  32-Ounce (Pack of 6), So Delicious - Chocolate Coconut Milk Beverage Single Serve &quot;Grab-and-Go&quot;, (Non Dairy + Soy Free + Gluten Free + Vegan), Buy TWENTYFOUR Units and SAVE, They come in Six, 4 Packs - Each Unit is 8 oz (Pack of 24), So Delicious Vanilla Coconut Milk 32oz (Pack of 12), Good2Grow Fruit Juice, Tropical Fruit Medley, 6 Count (Pack of 4), Good2Grow Fruit Juice, Apple, 6 Count (Pack of 4), Good2Grow Fruit Juice, Strawberry Kiwi, 6 Count (Pack of 4)","""Sambazon Blended Breakfast Smoothie 10.5 fl oz (12 Pack)"", ""So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened, 32-Ounce (Pack of 6)"", ""So Delicious - Chocolate Coconut Milk Beverage Single Serve, 8 oz (Pack of 24)"", ""So Delicious Vanilla Coconut Milk 32oz (Pack of 12)"", ""Califia Farms Almond Barista Blend (32oz, Pack of 6)"", ""Harmless Harvest Organic Coconut Water (12oz, Pack of 6)"""
"Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2), La Tourangelle Organic Canola Oil, 16.9-Ounce Tins (Pack of 3)","""Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2)"", ""La Tourangelle Organic Canola Oil, 16.9-Ounce Tins (Pack of 3)"", ""La Tourangelle Organic Avocado Oil, 16.9-Ounce Tin (Pack of 3)"", ""California Olive Ranch Extra Virgin Olive Oil, 16.9 oz (Pack of 2)"", ""Chosen Foods 100% Pure Avocado Oil Spray, 4.7 oz (Pack of 3)"""
"Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2), La Tourangelle Organic Canola Oil, 16.9-Ounce Tins (Pack of 3), Hidden Springs Maple Vermont Maple Syrup, 1 Pint - Fancy Grade - Light Amber, Great River Organic Milling, Organic Specialty All Purpose Whole Wheat Flour, 25-Pound Package","""Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2)"", ""Hidden Springs Maple Vermont Maple Syrup, 1 Pint - Fancy Grade - Light Amber"", ""Great River Organic Milling, Organic Specialty All Purpose Whole Wheat Flour, 25-Pound Package"", ""Bob’s Red Mill Baking Soda, 16 oz (Pack of 2)"", ""Kirkland Signature Pure Vanilla Extract, 16 oz"""
"Mother Earth Products Dried Zucchini, 1 Full Quart, Mother Earth Products Dried Leek Rings, Green Onions, 1 Full Quart, Mother Earth Products Dried Chives, Green Onions, 1 Full Quart, Mother Earth Products Dried Celery, Crosscut, 1 Full Quart, Mother Earth Products Dried Tomato Dices, 1 Full Quart, Mother Earth Products Dried Garlic, Granulated, 1 Full Quart","""Mother Earth Products Dried Zucchini, 1 Full Quart"", ""Mother Earth Products Dried Leek Rings, Green Onions, 1 Full Quart"", ""Mother Earth Products Dried Celery, Crosscut, 1 Full Quart"", ""Mother Earth Products Dried Tomato Dices, 1 Full Quart"", ""Mother Earth Products Dried Garlic, Granulated, 1 Full Quart"", ""Mother Earth Products Dried Mushrooms, 1 Full Quart"""
"Peak Instant Full-Cream Dry Whole Milk Powder, 400-Grams (Pack of 2), Hoosier Hill Farm All American Dairy Whole Milk Powder 1 lb","""Peak Instant Full-Cream Dry Whole Milk Powder, 400-Grams (Pack of 2)"", ""Judee’s Heavy Cream Powder, 11 oz"", ""Anthony’s Buttermilk Powder, 1 lb"""
"Mother Earth Products Dried Chives, Green Onions, 1 Full Quart, Mother Earth Products Dried Garlic, Granulated, 1 Full Quart","""Mother Earth Products Dried Chives, Green Onions, 1 Full Quart"", ""Mother Earth Products Dried Garlic, Granulated, 1 Full Quart"", ""Mother Earth Products Dried Parsley, 1 Full Quart"""
"Nut Roaster's Reserve Pecans -- Roasted &amp; Salted (24 Ounces), Raw Georgia Pecans Jumbo 1 Pound Bag - Oh! Nuts","""Nut Roaster's Reserve Pecans -- Roasted & Salted (24 Ounces)"", ""Raw Georgia Pecans Jumbo 1 Pound Bag - Oh! Nuts"", ""Oh! Nuts Raw Walnuts, 1 Pound"""
"Snyder's of Hanover, Bacon &amp; Cheddar Pretzel Pieces, 12oz Bag (Pack of 3), Oberto All Natural Bacon Jerky, 2.5 Ounce","""Snyder's of Hanover, Bacon & Cheddar Pretzel Pieces, 12oz Bag (Pack of 3)"", ""Oberto All Natural Bacon Jerky, 2.5 Ounce"", ""Kettle Brand Maple Bacon Potato Chips (8.5oz Bag, Pack of 2)"""
"The Ginger People All Natural Crystallized Ginger Select Slices, 1 lb Bag in a Gift Box, Bob's Red Mill White Corn Grits (2 / 24oz)","""Bob's Red Mill White Corn Grits (2 / 24oz)"", ""The Ginger People All Natural Crystallized Ginger Select Slices, 1 lb Bag in a Gift Box"", ""Maple Grove Farms Pure Maple Syrup (12oz Bottle)"""
