Items,LLM Adjusted Items
"Sony HDRPJ260V High Definition Handycam 8.9 MP Camcorder with 30x Optical Zoom, 16 GB Embedded Memory and Built-in Projector (2012 Model), Sony LCSU5 Soft Carrying Case for Camcorder, 64GB SD XC Class 10 SCT Secure Digital Ultimate Extreme High Speed SDXC Flash Memory Card 64G 64 GIGS GB FOR Digital Camera SLR Tablet Computer GPS","Sony HDRPJ260V High Definition Handycam 8.9 MP Camcorder with 30x Optical Zoom, 16 GB Embedded Memory and Built-in Projector (2012 Model), Sony LCSU5 Soft Carrying Case for Camcorder, 64GB SD XC Class 10 SCT Secure Digital Ultimate Extreme High Speed SDXC Flash Memory Card 64G 64 GIGS GB FOR Digital Camera SLR Tablet Computer GPS, Extra Camcorder Batteries, Tripod, Camera Stabilizer"
"Samsung ETA-P10JBEGSTA Galaxy Tab Detachable Multi Travel Charger with USB to 30 Pin Data Cable - Black, Samsung Galaxy Tab Detachable Car Charger with USB to 30 Pin Data Cable (ECA-P10CBEGSTA), COD(TM) Auto Car Home Wall Charger and USB Data Cable for Samsung Galaxy Tab 3 7.0 8.0 10.1 (Black), HDMI Splitter (1 to 2) Premium Splitter Cable","Samsung ETA-P10JBEGSTA Galaxy Tab Detachable Multi Travel Charger with USB to 30 Pin Data Cable - Black, Samsung Galaxy Tab Detachable Car Charger with USB to 30 Pin Data Cable (ECA-P10CBEGSTA), COD(TM) Auto Car Home Wall Charger and USB Data Cable for Samsung Galaxy Tab 3 7.0 8.0 10.1 (Black), HDMI Splitter (1 to 2) Premium Splitter Cable, Portable Power Bank, Protective Case for Samsung Galaxy Tab, Screen Cleaning Kit"
"SUPCASE New Google Nexus 7 FHD 2nd Generation Tablet Slim Hard Shell Leather Case with Auto Wake/Sleep - Black, Multi-Angle Viewing, Business Card Holder, Samsung Galaxy Tab (7-inch, 16GB, Wi-Fi)","SUPCASE New Google Nexus 7 FHD 2nd Generation Tablet Slim Hard Shell Leather Case with Auto Wake/Sleep - Black, Multi-Angle Viewing, Business Card Holder, Samsung Galaxy Tab (7-inch, 16GB, Wi-Fi), Screen Protector for Nexus 7/Tab, Portable Power Bank, Bluetooth Keyboard for Nexus 7/Tab"
"Kinivo 501BN Premium 5 port High speed HDMI switch with IR wireless remote and AC Power adapter - supports 3D, 1080p, amFilm Samsung Galaxy Tab 3 8.0 Tablet T3100 Premium Screen Protector Film HD Clear (2 Pack) [Lifetime Warranty]","Kinivo 501BN Premium 5 port High speed HDMI switch with IR wireless remote and AC Power adapter - supports 3D, 1080p, HDMI cables (2-pack), Universal Remote Control, Power Strip with Surge Protection"
"Samsung Electronics 8GB Plus microSDHC Ultra High Speed (UHS-1) Class 4 Memory Card (MB-MP8GB/AM), Transcend 32 GB Class 4 microSDHC Flash Memory Card TS32GUSDHC4","Samsung Electronics 8GB Plus microSDHC Ultra High Speed (UHS-1) Class 4 Memory Card (MB-MP8GB/AM), Memory Card Reader, Carrying Case for MicroSD Cards"
"StarTech NETRS2321E 1 Port RS-232/422/485 Serial over IP Ethernet Device Server, POWER STRIP ADAPTERS LIBERATORS (Set of 10), Icy Dock ICYRaid MB662U3-2S Dual bay SuperSpeed USB 3.0 External 3.5&quot; SATA HDD RAID Enclosure, Lexar Professional Workflow XR1 XQD/USB 3.0 Reader LRWXR1RBNA, Anker&reg; AH231 USB Hub with 9 USB 3.0 Data Ports + 1 Smart Charging Port (5V / 2.1A)with 12V 5A Power Adapter [VIA VL812-B2 Chipset and updated Firmware 9081]","StarTech NETRS2321E 1 Port RS-232/422/485 Serial over IP Ethernet Device Server, Icy Dock ICYRaid MB662U3-2S Dual bay SuperSpeed USB 3.0 External 3.5"" SATA HDD RAID Enclosure, Lexar Professional Workflow XR1 XQD/USB 3.0 Reader LRWXR1RBNA, Anker® AH231 USB Hub with 9 USB 3.0 Data Ports + 1 Smart Charging Port (5V / 2.1A) with 12V 5A Power Adapter, External Hard Drive (HDD or SSD), USB cables"
"StarTech NETRS2321E 1 Port RS-232/422/485 Serial over IP Ethernet Device Server, Icy Dock ICYRaid MB662U3-2S Dual bay SuperSpeed USB 3.0 External 3.5&quot; SATA HDD RAID Enclosure, Lexar Professional Workflow XR1 XQD/USB 3.0 Reader LRWXR1RBNA","StarTech NETRS2321E 1 Port RS-232/422/485 Serial over IP Ethernet Device Server, Icy Dock ICYRaid MB662U3-2S Dual bay SuperSpeed USB 3.0 External 3.5"" SATA HDD RAID Enclosure, External Hard Drive (HDD or SSD), USB 3.0 cables"
"CMVision IR110 - 114 LED Indoor/Outdoor Long Range 200-300ft IR Illuminator With Free 3A 12VDC Adaptor, CMVision IR130 - 198 LED Indoor/Outdoor Long Range 300-400ft IR Illuminator With Free 3A 12VDC Adaptor","CVision IR130 - 198 LED Indoor/Outdoor Long Range 300-400ft IR Illuminator With Free 3A 12VDC Adaptor, Security Camera, Camera Mounting Bracket, Surge Protector"
"Wilson Electronics 20-Foot WILSON400 Ultra Low Loss Coax Cable with N Male Connectors, SMA Male to N Female Coax Cable Adapter, Cables to Go 1.5 ft 1 to 4 Power Cord Splitter","Wilson Electronics 20-Foot WILSON400 Ultra Low Loss Coax Cable with N Male Connectors, SMA Male to N Female Coax Cable Adapter, Wireless Antenna, Signal Booster, Coaxial Cable Stripper"
"Wilson Electronics - Sleek 4G - Cell Phone Signal Booster for Single User - Retail Packaging - Black, Anker&reg; 18W / 3.6A Dual-Port USB Wall Charger / Portable Travel Charger - Simultaneous, full-speed charging(white)","Anker® 18W / 3.6A Dual-Port USB Wall Charger / Portable Travel Charger, Mobile Power Bank, USB-C to Lightning Cable, Mobile Phone Stand"
"Anker&reg; 18W / 3.6A Dual-Port USB Wall Charger / Portable Travel Charger - Simultaneous, full-speed charging(white), Cables to Go 1.5 ft 1 to 4 Power Cord Splitter","Anker® 18W / 3.6A Dual-Port USB Wall Charger / Portable Travel Charger, Mobile Power Bank, Multi-Port USB Charging Hub"
"ACP-EP Memory 1GB PC2100 200-PIN DDR 266MHz SODIMM (MAC and PC), ASUS Socket 1366/Intel X58/SATA3&amp;USB3.0/A&amp;GbE/ATX Motherboard P6X58D-E","ASUS Socket 1366/Intel X58/SATA3&USB3.0/A&GbE/ATX Motherboard P6X58D-E, 8GB DDR3 RAM, Intel Core i7 Processor, 500W Power Supply Unit"
"Hosa Cable CPR201 Dual 1/4 Inch To RCA Cable - 3.25 Foot, Monster M DJ-CR-2M 1/4 Male Mono to Single Male RCA Cables","Hosa Cable CPR201 Dual 1/4 Inch To RCA Cable - 3.25 Foot, Audio Interface or Mixer with RCA and 1/4 Inch Inputs, Headphones or Speakers for DJing or Home Audio"
"ASUS Vulcan PRO Gaming Headset (Discontinued by Manufacturer), Sony BCTRG Travel Charger for G-Series Battery","ASUS Vulcan PRO Gaming Headset (Discontinued by Manufacturer), Gaming Mouse, Gaming Keyboard, Gaming Mousepad"
"Sony BCTRG Travel Charger for G-Series Battery, Fortress Security Store (TM) S02-A Wireless Home Security Alarm System DIY Kit Auto Dial","Fortress Security Store (TM) S02-A Wireless Home Security Alarm System DIY Kit Auto Dial, Security Camera, Door/Window Sensors, Smartphone App Integration Kit"
"Samsung Galaxy Note 8.0 (16GB, White) 2013 Model, Blurex Slim Case for the Samsung Galaxy Note 8.0 with a Multi-Angle Stand","Samsung Galaxy Note 8.0 (16GB, White) 2013 Model, Blurex Slim Case for the Samsung Galaxy Note 8.0 with a Multi-Angle Stand, Tablet Screen Protector, Portable Charger/Power Bank, Bluetooth Keyboard"
"Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, Pyrus Electronics 4gb Mp3/mp4/mp5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black","Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, Pyrus Electronics 4GB MP3/MP4/MP5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black, Carrying Case for MP3 Player, USB Charging Cable, Portable Charger/Power Bank"
"Sony MDRPQ4/GRN PIIQ Headphones, X-Mini II XAM4-B Portable Capsule Speaker, Mono, Black, Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, HDE SX-907 Bluetooth Stereo Headphones","Sony MDRPQ4/GRN PIIQ Headphones, X-Mini II XAM4-B Portable Capsule Speaker, Mono, Black, Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, HDE SX-907 Bluetooth Stereo Headphones, Portable Charger/Power Bank, 3.5mm Aux Cable, Portable Carrying Case for Headphones and Speaker"
"Pyrus Electronics 4gb Mp3/mp4/mp5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black, Craig 4GB MP3 Video Player","Pyrus Electronics 4GB MP3/MP4/MP5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black, Craig 4GB MP3 Video Player, Portable Headphones or Earphones, Portable Charger/Power Bank, MicroSD Card (16GB or higher)"
"Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, Pyrus Electronics 4gb Mp3/mp4/mp5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black","Skullcandy Ink'd In-Ear Headphones (S2INBL-SZ) - Silver, Pyrus Electronics 4GB MP3/MP4/MP5 Player with 2.8 Inch Touch Screen and All Stainless Steel Casing - Black, Portable Power Bank, MicroSD Card (16GB or higher), Protective Case for MP3 Player"
"Snugg Motorola Xoom Squared Skinny Fit Protective Case Cover in Black, Eee Pad Transformer TF101 Case Sleeve Folio Leather Cover with Stand &amp; Dock (Black)","Eee Pad Transformer TF101 Case Sleeve Folio Leather Cover with Stand & Dock (Black), Stylus for Tablet, Screen Protector for Tablet, Portable Power Bank"
"SKYTEX Primer 7&quot; Color E-reader and Media Player, GSI - 3 RCA To USB Cable, Bluetooth USB 2.0 Micro Adapter Dongle, iMicro SP-IM942 Headset with Microphone, EyeClops Mini Projector, HDE VGA Adapter to TV S-Video RCA Out Cable for PC Video","SKYTEX Primer 7"" Color E-reader and Media Player, GSI - 3 RCA To USB Cable, Bluetooth USB 2.0 Micro Adapter Dongle, iMicro SP-IM942 Headset with Microphone, EyeClops Mini Projector, HDE VGA Adapter to TV S-Video RCA Out Cable for PC Video, Portable Bluetooth Speaker, External Hard Drive for Media Storage, Universal Remote for Media Devices"
"iMicro SP-IM942 Headset with Microphone, EyeClops Mini Projector","iMicro SP-IM942 Headset with Microphone, EyeClops Mini Projector, Portable Bluetooth Speaker, USB Flash Drive for Media Storage, Tripod Stand for Projector"
"Professional 72-inch TRIPOD FOR All Canon Sony, Nikon, Samsung, Panasonic, Olympus, Kodak, Fuji, Cameras And Camcorders + BP MicroFiber Cleaning Cloth, WD My Book Live 1TB Personal Cloud Storage NAS Share Files and Photos","Professional 72-inch Tripod for All Canon, Sony, Nikon, Samsung, Panasonic, Olympus, Kodak, Fuji, Cameras and Camcorders + BP MicroFiber Cleaning Cloth, WD My Book Live 1TB Personal Cloud Storage NAS Share Files and Photos, External Hard Drive, Memory Cards for Cameras, Camera Bag"
"Kensington Keyfolio Bluetooth Keyboard Case For iPad 4 with Retina Display, iPad 3, iPad 2 and iPad 1 (K39336US), Incase CL57419 Neoprene Sleeve Plus for MacBook Pro 15&quot; (Soft Green), Speck Products SeeThru Satin Soft Touch, Hard Shell Case for MacBook Pro with Retina Display 15-Inch, Black (SPK-A1500)","Kensington Keyfolio Bluetooth Keyboard Case for iPad 4 with Retina Display, iPad 3, iPad 2, and iPad 1 (K39336US), Incase CL57419 Neoprene Sleeve Plus for MacBook Pro 15"" (Soft Green), Speck Products SeeThru Satin Soft Touch Hard Shell Case for MacBook Pro with Retina Display 15-Inch, Black (SPK-A1500), Screen Protector for iPad, Portable Charger/Power Bank, Wireless Mouse"
"6FT SVGA VGA Monitor MM Male To Male Extension Cable 80, Sabrent SuperSpeed USB 3.0 Flash Memory Card Reader for Windows, Mac, Linux, and Certain Android Systems - Supports SD , SDHC , MMC / MicroSD , T-Flash / MS , MS PRO Duo/ M2, and more (CR-MN30), Dell Latitude E6520 Dell 90-Watt 3 Prong Slim AC Adapter with 6.56 ft Power Cord., iMBAPrice iMBA-PS-06MM 6-Feet Gold Plated 3.5mm Male to 3.5mm Male Stereo Audio Cable, C2G / Cables to Go 03137 18 AWG Outlet Saver Power Extension Cord NEMA 5-15P to NEMA 5-15R, Black (1 Foot/0.30 Meters)","6FT SVGA VGA Monitor MM Male To Male Extension Cable 80, Sabrent SuperSpeed USB 3.0 Flash Memory Card Reader for Windows, Mac, Linux, and Certain Android Systems - Supports SD , SDHC , MMC / MicroSD , T-Flash / MS , MS PRO Duo/ M2, and more (CR-MN30), Dell Latitude E6520 Dell 90-Watt 3 Prong Slim AC Adapter with 6.56 ft Power Cord., iMBAPrice iMBA-PS-06MM 6-Feet Gold Plated 3.5mm Male to 3.5mm Male Stereo Audio Cable, C2G / Cables to Go 03137 18 AWG Outlet Saver Power Extension Cord NEMA 5-15P to NEMA 5-15R, Black (1 Foot/0.30 Meters), USB Hub, Laptop Stand, Cable Management Clips"
"6FT SVGA VGA Monitor MM Male To Male Extension Cable 80, Dell Latitude E6520 Dell 90-Watt 3 Prong Slim AC Adapter with 6.56 ft Power Cord., iMBAPrice iMBA-PS-06MM 6-Feet Gold Plated 3.5mm Male to 3.5mm Male Stereo Audio Cable","6FT SVGA VGA Monitor MM Male To Male Extension Cable 80, Dell Latitude E6520 Dell 90-Watt 3 Prong Slim AC Adapter with 6.56 ft Power Cord., iMBAPrice iMBA-PS-06MM 6-Feet Gold Plated 3.5mm Male to 3.5mm Male Stereo Audio Cable, USB Hub, Laptop Cooling Pad, External Hard Drive"
"Case Star &reg; Black Earphone handsfree headset HARD EVA Case - Clamshell/MESH Style with Zipper Enclosure, Inner Pocket, and Durable Exterior + Silver Climbing Carabiner with Case Star Velvet Bag, Monster MH TIP IE-G S Gel SuperTips Replacement Kits 6 Pr. Gel SuperTips, Shure SE215-K Live Sound Monitor, Black, SoundMAGIC E10 Noise Isolating In-Ear Earphones (BlackGunmetal), Comply T-400 Isolation Earphone Tips (Platinum, 3 Pairs, Medium), Great White Design Protective Decal Skin Sticker for SanDisk Sansa Fuze MP3 Player","Case Star ® Black Earphone handsfree headset HARD EVA Case - Clamshell/MESH Style with Zipper Enclosure, Inner Pocket, and Durable Exterior + Silver Climbing Carabiner with Case Star Velvet Bag, Monster MH TIP IE-G S Gel SuperTips Replacement Kits 6 Pr. Gel SuperTips, Shure SE215-K Live Sound Monitor, Black, SoundMAGIC E10 Noise Isolating In-Ear Earphones (BlackGunmetal), Comply T-400 Isolation Earphone Tips (Platinum, 3 Pairs, Medium), Great White Design Protective Decal Skin Sticker for SanDisk Sansa Fuze MP3 Player, Portable Headphone Amplifier, Bluetooth Adapter, Earphone Cleaning Kit"
"Case Star &reg; Black Earphone handsfree headset HARD EVA Case - Clamshell/MESH Style with Zipper Enclosure, Inner Pocket, and Durable Exterior + Silver Climbing Carabiner with Case Star Velvet Bag, Monster MH TIP IE-G S Gel SuperTips Replacement Kits 6 Pr. Gel SuperTips, Shure SE215-K Live Sound Monitor, Black, SoundMAGIC E10 Noise Isolating In-Ear Earphones (BlackGunmetal), Comply T-400 Isolation Earphone Tips (Platinum, 3 Pairs, Medium)","Case Star ® Black Earphone handsfree headset HARD EVA Case - Clamshell/MESH Style with Zipper Enclosure, Inner Pocket, and Durable Exterior + Silver Climbing Carabiner with Case Star Velvet Bag, Monster MH TIP IE-G S Gel SuperTips Replacement Kits 6 Pr. Gel SuperTips, Shure SE215-K Live Sound Monitor, Black, SoundMAGIC E10 Noise Isolating In-Ear Earphones (BlackGunmetal), Comply T-400 Isolation Earphone Tips (Platinum, 3 Pairs, Medium), Portable Earphone Cleaning Kit, Headphone Amplifier, Bluetooth Adapter"
"Tech Armor Anti-Glare &amp; Anti-Fingerprint (Matte) Screen Protector with Lifetime Replacement Warranty for Apple iPad Mini Tablet [3-Pack], Arris TM822G Touchstone&reg; DOCSIS 3.0 8x4 Ultra-High Speed Telephony Modem","Tech Armor Anti-Glare & Anti-Fingerprint (Matte) Screen Protector with Lifetime Replacement Warranty for Apple iPad Mini Tablet [3-Pack], Tablet Stand, Tablet Carrying Case, Bluetooth Keyboard"
"ASUS RT-AC66U Dual-Band Wireless-AC1750 Gigabit Router, ASUS RT-N66U Dual-Band Wireless-N900 Gigabit Router","ASUS RT-AC66U Dual-Band Wireless-AC1750 Gigabit Router, ASUS RT-N66U Dual-Band Wireless-N900 Gigabit Router, Ethernet Cables (Cat 6), Wi-Fi Range Extender, Surge Protector"
"SANOXY&reg; HDMI 5x1 5 Port Switch/Switcher with IR Remote Support 3D, Apogee HDMI 3x1 Mini Switcher - No power supply needed, Wilson Electronics  DT - Cell Phone Signal Boost for Small Home or Office - Retail Packaging - Gray, HDMI 3 Port Gold Platted Switch Switcher w/ IR Remote For HDTV Direct TV PS3 LCD Plasma","SANOXY HDMI 5x1 5 Port Switch/Switcher with IR Remote, Apogee HDMI 3x1 Mini Switcher - No power supply needed, Wilson Electronics DT - Cell Phone Signal Boost for Small Home or Office, HDMI 3 Port Gold Plated Switch Switcher w/ IR Remote for HDTV, Direct TV, PS3, LCD, Plasma, HDMI Cables, Universal Remote Control, Power Surge Protector"
"Apogee HDMI 3x1 Mini Switcher - No power supply needed, HDMI 3 Port Gold Platted Switch Switcher w/ IR Remote For HDTV Direct TV PS3 LCD Plasma","Apogee HDMI 3x1 Mini Switcher - No power supply needed, HDMI 3 Port Gold Plated Switch Switcher w/ IR Remote for HDTV, Direct TV, PS3, LCD, Plasma, HDMI Cables, Universal Remote Control, Power Surge Protector"
